# Adobe-Japan1 IVSes
3402 E0100; Adobe-Japan1; CID+2122
45EA E0100; Adobe-Japan1; CID+2286
460F E0100; Adobe-Japan1; CID+2287
4610 E0100; Adobe-Japan1; CID+2288
4641 E0100; Adobe-Japan1; CID+2289
4665 E0100; Adobe-Japan1; CID+2290
46A1 E0100; Adobe-Japan1; CID+2291
46AE E0100; Adobe-Japan1; CID+2292
46AF E0100; Adobe-Japan1; CID+2293
470C E0100; Adobe-Japan1; CID+2294
471F E0100; Adobe-Japan1; CID+2295
4764 E0100; Adobe-Japan1; CID+2296
47E6 E0100; Adobe-Japan1; CID+2297
47FD E0100; Adobe-Japan1; CID+2298
4816 E0100; Adobe-Japan1; CID+2299
481E E0100; Adobe-Japan1; CID+2300
4844 E0100; Adobe-Japan1; CID+2301
484E E0100; Adobe-Japan1; CID+2302
48B5 E0100; Adobe-Japan1; CID+2303
49B0 E0100; Adobe-Japan1; CID+2304
49E7 E0100; Adobe-Japan1; CID+2305
49FA E0100; Adobe-Japan1; CID+2306
4A04 E0100; Adobe-Japan1; CID+2307
4A29 E0100; Adobe-Japan1; CID+2308
4ABC E0100; Adobe-Japan1; CID+2309
4B38 E0100; Adobe-Japan1; CID+2310
4B3B E0100; Adobe-Japan1; CID+2311
4B7E E0100; Adobe-Japan1; CID+2312
4BC2 E0100; Adobe-Japan1; CID+2313
4BCA E0100; Adobe-Japan1; CID+2314
4BD2 E0100; Adobe-Japan1; CID+2315
4BE8 E0100; Adobe-Japan1; CID+2316
4C17 E0100; Adobe-Japan1; CID+2317
4C20 E0100; Adobe-Japan1; CID+2318
4C38 E0100; Adobe-Japan1; CID+2319
4CC4 E0100; Adobe-Japan1; CID+2320
4CD1 E0100; Adobe-Japan1; CID+2321
4CE1 E0100; Adobe-Japan1; CID+2322
4D07 E0100; Adobe-Japan1; CID+2323
4D77 E0100; Adobe-Japan1; CID+2324
4E00 E0100; Adobe-Japan1; CID+2325
4E01 E0100; Adobe-Japan1; CID+2326
4E02 E0100; Adobe-Japan1; CID+2327
4E03 E0100; Adobe-Japan1; CID+2328
4E04 E0100; Adobe-Japan1; CID+2329
4E05 E0100; Adobe-Japan1; CID+2330
4E07 E0100; Adobe-Japan1; CID+2331
4E08 E0100; Adobe-Japan1; CID+2332
4E08 E0101; Adobe-Japan1; CID+16279
4E09 E0100; Adobe-Japan1; CID+2333
4E0A E0100; Adobe-Japan1; CID+2334
4E0B E0100; Adobe-Japan1; CID+2335
4E0C E0100; Adobe-Japan1; CID+2336
4E0D E0100; Adobe-Japan1; CID+2337
4E0E E0100; Adobe-Japan1; CID+2338
4E0E E0101; Adobe-Japan1; CID+16280
4E0F E0100; Adobe-Japan1; CID+2339
4E10 E0100; Adobe-Japan1; CID+2340
4E11 E0100; Adobe-Japan1; CID+2341
4E12 E0100; Adobe-Japan1; CID+2342
4E14 E0100; Adobe-Japan1; CID+2343
4E15 E0100; Adobe-Japan1; CID+2344
4E16 E0100; Adobe-Japan1; CID+2345
4E17 E0100; Adobe-Japan1; CID+2346
4E18 E0100; Adobe-Japan1; CID+2347
4E19 E0100; Adobe-Japan1; CID+2348
4E19 E0101; Adobe-Japan1; CID+16281
4E1E E0100; Adobe-Japan1; CID+2349
4E1F E0100; Adobe-Japan1; CID+2350
4E21 E0100; Adobe-Japan1; CID+2351
4E23 E0100; Adobe-Japan1; CID+2352
4E24 E0100; Adobe-Japan1; CID+2353
4E26 E0100; Adobe-Japan1; CID+2354
4E26 E0101; Adobe-Japan1; CID+16282
4E28 E0100; Adobe-Japan1; CID+2355
4E29 E0100; Adobe-Japan1; CID+2356
4E2A E0100; Adobe-Japan1; CID+2357
4E2B E0100; Adobe-Japan1; CID+2358
4E2C E0100; Adobe-Japan1; CID+2359
4E2D E0100; Adobe-Japan1; CID+2360
4E2E E0100; Adobe-Japan1; CID+2361
4E2F E0100; Adobe-Japan1; CID+2362
4E30 E0100; Adobe-Japan1; CID+2363
4E30 E0101; Adobe-Japan1; CID+16283
4E31 E0100; Adobe-Japan1; CID+2364
4E32 E0100; Adobe-Japan1; CID+2365
4E35 E0100; Adobe-Japan1; CID+2366
4E36 E0100; Adobe-Japan1; CID+2367
4E37 E0100; Adobe-Japan1; CID+2368
4E38 E0100; Adobe-Japan1; CID+2369
4E39 E0100; Adobe-Japan1; CID+2370
4E39 E0101; Adobe-Japan1; CID+16284
4E3B E0100; Adobe-Japan1; CID+2371
4E3B E0101; Adobe-Japan1; CID+16285
4E3C E0100; Adobe-Japan1; CID+2372
4E3F E0100; Adobe-Japan1; CID+2373
4E40 E0100; Adobe-Japan1; CID+2374
4E41 E0100; Adobe-Japan1; CID+2375
4E42 E0100; Adobe-Japan1; CID+2376
4E43 E0100; Adobe-Japan1; CID+2377
4E44 E0100; Adobe-Japan1; CID+2378
4E45 E0100; Adobe-Japan1; CID+2379
4E47 E0100; Adobe-Japan1; CID+2380
4E48 E0100; Adobe-Japan1; CID+2381
4E4B E0100; Adobe-Japan1; CID+2382
4E4D E0100; Adobe-Japan1; CID+2383
4E4E E0100; Adobe-Japan1; CID+2384
4E4F E0100; Adobe-Japan1; CID+2385
4E51 E0100; Adobe-Japan1; CID+2386
4E55 E0100; Adobe-Japan1; CID+2387
4E56 E0100; Adobe-Japan1; CID+2388
4E57 E0100; Adobe-Japan1; CID+2389
4E58 E0100; Adobe-Japan1; CID+2390
4E59 E0100; Adobe-Japan1; CID+2391
4E5A E0100; Adobe-Japan1; CID+2392
4E5C E0100; Adobe-Japan1; CID+2394
4E5D E0100; Adobe-Japan1; CID+2395
4E5E E0100; Adobe-Japan1; CID+2396
4E5F E0100; Adobe-Japan1; CID+2397
4E62 E0100; Adobe-Japan1; CID+2398
4E63 E0100; Adobe-Japan1; CID+2399
4E68 E0100; Adobe-Japan1; CID+2400
4E69 E0100; Adobe-Japan1; CID+2401
4E71 E0100; Adobe-Japan1; CID+2402
4E73 E0100; Adobe-Japan1; CID+2403
4E73 E0101; Adobe-Japan1; CID+16286
4E74 E0100; Adobe-Japan1; CID+2404
4E75 E0100; Adobe-Japan1; CID+2405
4E79 E0100; Adobe-Japan1; CID+2406
4E7E E0100; Adobe-Japan1; CID+2407
4E7F E0100; Adobe-Japan1; CID+2408
4E80 E0100; Adobe-Japan1; CID+2409
4E82 E0100; Adobe-Japan1; CID+2410
4E85 E0100; Adobe-Japan1; CID+2411
4E86 E0100; Adobe-Japan1; CID+2412
4E88 E0100; Adobe-Japan1; CID+2413
4E89 E0100; Adobe-Japan1; CID+2414
4E8A E0100; Adobe-Japan1; CID+2415
4E8B E0100; Adobe-Japan1; CID+2416
4E8C E0100; Adobe-Japan1; CID+2417
4E8D E0100; Adobe-Japan1; CID+2418
4E8E E0100; Adobe-Japan1; CID+2419
4E91 E0100; Adobe-Japan1; CID+2420
4E92 E0100; Adobe-Japan1; CID+2421
4E94 E0100; Adobe-Japan1; CID+2422
4E95 E0100; Adobe-Japan1; CID+2423
4E96 E0100; Adobe-Japan1; CID+2424
4E97 E0100; Adobe-Japan1; CID+2425
4E98 E0100; Adobe-Japan1; CID+2426
4E99 E0100; Adobe-Japan1; CID+2427
4E9B E0100; Adobe-Japan1; CID+2428
4E9C E0100; Adobe-Japan1; CID+2429
4E9D E0100; Adobe-Japan1; CID+2430
4E9E E0100; Adobe-Japan1; CID+2431
4E9F E0100; Adobe-Japan1; CID+2432
4EA0 E0100; Adobe-Japan1; CID+2433
4EA1 E0100; Adobe-Japan1; CID+2434
4EA1 E0101; Adobe-Japan1; CID+16287
4EA2 E0100; Adobe-Japan1; CID+2435
4EA4 E0100; Adobe-Japan1; CID+2436
4EA4 E0101; Adobe-Japan1; CID+16288
4EA5 E0100; Adobe-Japan1; CID+2437
4EA6 E0100; Adobe-Japan1; CID+2438
4EA8 E0100; Adobe-Japan1; CID+2439
4EAB E0100; Adobe-Japan1; CID+2440
4EAC E0100; Adobe-Japan1; CID+2441
4EAD E0100; Adobe-Japan1; CID+2442
4EAE E0100; Adobe-Japan1; CID+2443
4EAF E0100; Adobe-Japan1; CID+2444
4EB0 E0100; Adobe-Japan1; CID+2445
4EB3 E0100; Adobe-Japan1; CID+2446
4EB6 E0100; Adobe-Japan1; CID+2447
4EB9 E0100; Adobe-Japan1; CID+2448
4EBA E0100; Adobe-Japan1; CID+2449
4EBB E0100; Adobe-Japan1; CID+2450
4EBC E0100; Adobe-Japan1; CID+2451
4EC0 E0100; Adobe-Japan1; CID+2452
4EC1 E0100; Adobe-Japan1; CID+2453
4EC2 E0100; Adobe-Japan1; CID+2454
4EC3 E0100; Adobe-Japan1; CID+2455
4EC4 E0100; Adobe-Japan1; CID+2456
4EC6 E0100; Adobe-Japan1; CID+2457
4EC7 E0100; Adobe-Japan1; CID+2458
4EC8 E0100; Adobe-Japan1; CID+2459
4ECA E0100; Adobe-Japan1; CID+2460
4ECA E0101; Adobe-Japan1; CID+16030
4ECB E0100; Adobe-Japan1; CID+2461
4ECD E0100; Adobe-Japan1; CID+2462
4ECE E0100; Adobe-Japan1; CID+2463
4ECF E0100; Adobe-Japan1; CID+2464
4ED0 E0100; Adobe-Japan1; CID+2465
4ED4 E0100; Adobe-Japan1; CID+2466
4ED5 E0100; Adobe-Japan1; CID+2467
4ED6 E0100; Adobe-Japan1; CID+2468
4ED7 E0100; Adobe-Japan1; CID+2469
4ED8 E0100; Adobe-Japan1; CID+2470
4ED9 E0100; Adobe-Japan1; CID+2471
4EDA E0100; Adobe-Japan1; CID+2472
4EDB E0100; Adobe-Japan1; CID+2473
4EDD E0100; Adobe-Japan1; CID+2474
4EDE E0100; Adobe-Japan1; CID+2475
4EDF E0100; Adobe-Japan1; CID+2476
4EE0 E0100; Adobe-Japan1; CID+2477
4EE1 E0100; Adobe-Japan1; CID+2478
4EE2 E0100; Adobe-Japan1; CID+2479
4EE3 E0100; Adobe-Japan1; CID+2480
4EE4 E0100; Adobe-Japan1; CID+2481
4EE5 E0100; Adobe-Japan1; CID+2482
4EE8 E0100; Adobe-Japan1; CID+2483
4EEB E0100; Adobe-Japan1; CID+2484
4EED E0100; Adobe-Japan1; CID+2485
4EEE E0100; Adobe-Japan1; CID+2486
4EEF E0100; Adobe-Japan1; CID+2487
4EF0 E0100; Adobe-Japan1; CID+2488
4EF1 E0100; Adobe-Japan1; CID+2489
4EF2 E0100; Adobe-Japan1; CID+2490
4EF3 E0100; Adobe-Japan1; CID+2491
4EF5 E0100; Adobe-Japan1; CID+2492
4EF6 E0100; Adobe-Japan1; CID+2493
4EF7 E0100; Adobe-Japan1; CID+2494
4EFB E0100; Adobe-Japan1; CID+2495
4EFC E0100; Adobe-Japan1; CID+2496
4EFD E0100; Adobe-Japan1; CID+2497
4EFE E0100; Adobe-Japan1; CID+2498
4EFF E0100; Adobe-Japan1; CID+2499
4F00 E0100; Adobe-Japan1; CID+2500
4F01 E0100; Adobe-Japan1; CID+2501
4F02 E0100; Adobe-Japan1; CID+2502
4F03 E0100; Adobe-Japan1; CID+2503
4F08 E0100; Adobe-Japan1; CID+2504
4F09 E0100; Adobe-Japan1; CID+2505
4F0A E0100; Adobe-Japan1; CID+2506
4F0B E0100; Adobe-Japan1; CID+2507
4F0C E0100; Adobe-Japan1; CID+2508
4F0D E0100; Adobe-Japan1; CID+2509
4F0E E0100; Adobe-Japan1; CID+2510
4F0F E0100; Adobe-Japan1; CID+2511
4F10 E0100; Adobe-Japan1; CID+2512
4F11 E0100; Adobe-Japan1; CID+2513
4F12 E0100; Adobe-Japan1; CID+2514
4F15 E0100; Adobe-Japan1; CID+2515
4F16 E0100; Adobe-Japan1; CID+2516
4F17 E0100; Adobe-Japan1; CID+2517
4F19 E0100; Adobe-Japan1; CID+2518
4F1A E0100; Adobe-Japan1; CID+2519
4F1C E0100; Adobe-Japan1; CID+2520
4F1D E0100; Adobe-Japan1; CID+2521
4F2B E0100; Adobe-Japan1; CID+2522
4F2E E0100; Adobe-Japan1; CID+2523
4F2F E0100; Adobe-Japan1; CID+2524
4F30 E0100; Adobe-Japan1; CID+2525
4F31 E0100; Adobe-Japan1; CID+2526
4F33 E0100; Adobe-Japan1; CID+2527
4F34 E0100; Adobe-Japan1; CID+2528
4F34 E0101; Adobe-Japan1; CID+16289
4F35 E0100; Adobe-Japan1; CID+2529
4F36 E0100; Adobe-Japan1; CID+2530
4F37 E0100; Adobe-Japan1; CID+2531
4F38 E0100; Adobe-Japan1; CID+2532
4F39 E0100; Adobe-Japan1; CID+2533
4F3A E0100; Adobe-Japan1; CID+2534
4F3B E0100; Adobe-Japan1; CID+2535
4F3C E0100; Adobe-Japan1; CID+2536
4F3D E0100; Adobe-Japan1; CID+2537
4F3E E0100; Adobe-Japan1; CID+2538
4F40 E0100; Adobe-Japan1; CID+2539
4F42 E0100; Adobe-Japan1; CID+2540
4F43 E0100; Adobe-Japan1; CID+2541
4F46 E0100; Adobe-Japan1; CID+2542
4F47 E0100; Adobe-Japan1; CID+2543
4F48 E0100; Adobe-Japan1; CID+2544
4F49 E0100; Adobe-Japan1; CID+2545
4F4B E0100; Adobe-Japan1; CID+2546
4F4C E0100; Adobe-Japan1; CID+2547
4F4D E0100; Adobe-Japan1; CID+2548
4F4E E0100; Adobe-Japan1; CID+2549
4F4F E0100; Adobe-Japan1; CID+2550
4F4F E0101; Adobe-Japan1; CID+16290
4F50 E0100; Adobe-Japan1; CID+2551
4F51 E0100; Adobe-Japan1; CID+2552
4F52 E0100; Adobe-Japan1; CID+2553
4F53 E0100; Adobe-Japan1; CID+2554
4F54 E0100; Adobe-Japan1; CID+2555
4F55 E0100; Adobe-Japan1; CID+2556
4F56 E0100; Adobe-Japan1; CID+2557
4F57 E0100; Adobe-Japan1; CID+2558
4F58 E0100; Adobe-Japan1; CID+2559
4F59 E0100; Adobe-Japan1; CID+2560
4F5A E0100; Adobe-Japan1; CID+2561
4F5B E0100; Adobe-Japan1; CID+2562
4F5C E0100; Adobe-Japan1; CID+2563
4F5D E0100; Adobe-Japan1; CID+2564
4F5E E0100; Adobe-Japan1; CID+2565
4F5F E0100; Adobe-Japan1; CID+2566
4F60 E0100; Adobe-Japan1; CID+2567
4F60 E0101; Adobe-Japan1; CID+16055
4F63 E0100; Adobe-Japan1; CID+2568
4F64 E0100; Adobe-Japan1; CID+2569
4F69 E0100; Adobe-Japan1; CID+2570
4F6A E0100; Adobe-Japan1; CID+2571
4F6C E0100; Adobe-Japan1; CID+2572
4F6E E0100; Adobe-Japan1; CID+2573
4F6F E0100; Adobe-Japan1; CID+2574
4F70 E0100; Adobe-Japan1; CID+2575
4F71 E0100; Adobe-Japan1; CID+2576
4F73 E0100; Adobe-Japan1; CID+2577
4F73 E0101; Adobe-Japan1; CID+16291
4F75 E0100; Adobe-Japan1; CID+2578
4F75 E0101; Adobe-Japan1; CID+16292
4F76 E0100; Adobe-Japan1; CID+2579
4F77 E0100; Adobe-Japan1; CID+2580
4F78 E0100; Adobe-Japan1; CID+2581
4F79 E0100; Adobe-Japan1; CID+2582
4F7A E0100; Adobe-Japan1; CID+2583
4F7B E0100; Adobe-Japan1; CID+2584
4F7C E0100; Adobe-Japan1; CID+2585
4F7D E0100; Adobe-Japan1; CID+2586
4F7E E0100; Adobe-Japan1; CID+2587
4F7F E0100; Adobe-Japan1; CID+2588
4F7F E0101; Adobe-Japan1; CID+16293
4F81 E0100; Adobe-Japan1; CID+2589
4F82 E0100; Adobe-Japan1; CID+2590
4F83 E0100; Adobe-Japan1; CID+2591
4F84 E0100; Adobe-Japan1; CID+2592
4F85 E0100; Adobe-Japan1; CID+2593
4F86 E0100; Adobe-Japan1; CID+2594
4F88 E0100; Adobe-Japan1; CID+2595
4F89 E0100; Adobe-Japan1; CID+2596
4F8A E0100; Adobe-Japan1; CID+2597
4F8B E0100; Adobe-Japan1; CID+2598
4F8C E0100; Adobe-Japan1; CID+2599
4F8D E0100; Adobe-Japan1; CID+2600
4F8E E0100; Adobe-Japan1; CID+2601
4F8F E0100; Adobe-Japan1; CID+2602
4F90 E0100; Adobe-Japan1; CID+2603
4F91 E0100; Adobe-Japan1; CID+2604
4F92 E0100; Adobe-Japan1; CID+2605
4F93 E0100; Adobe-Japan1; CID+2606
4F94 E0100; Adobe-Japan1; CID+2607
4F96 E0100; Adobe-Japan1; CID+2608
4F97 E0100; Adobe-Japan1; CID+2609
4F98 E0100; Adobe-Japan1; CID+2610
4F99 E0100; Adobe-Japan1; CID+2611
4F9A E0100; Adobe-Japan1; CID+2612
4F9B E0100; Adobe-Japan1; CID+2613
4F9D E0100; Adobe-Japan1; CID+2614
4F9E E0100; Adobe-Japan1; CID+2615
4F9F E0100; Adobe-Japan1; CID+2616
4FA0 E0100; Adobe-Japan1; CID+2617
4FA1 E0100; Adobe-Japan1; CID+2618
4FAB E0100; Adobe-Japan1; CID+2619
4FAD E0100; Adobe-Japan1; CID+2620
4FAE E0100; Adobe-Japan1; CID+2621
4FAE E0101; Adobe-Japan1; CID+15127
4FAF E0100; Adobe-Japan1; CID+2622
4FB2 E0100; Adobe-Japan1; CID+2623
4FB5 E0100; Adobe-Japan1; CID+2624
4FB5 E0101; Adobe-Japan1; CID+16294
4FB6 E0100; Adobe-Japan1; CID+2625
4FB7 E0100; Adobe-Japan1; CID+2626
4FB9 E0100; Adobe-Japan1; CID+2627
4FBB E0100; Adobe-Japan1; CID+2628
4FBC E0100; Adobe-Japan1; CID+2629
4FBD E0100; Adobe-Japan1; CID+2630
4FBE E0100; Adobe-Japan1; CID+2631
4FBF E0100; Adobe-Japan1; CID+2632
4FBF E0101; Adobe-Japan1; CID+16295
4FC0 E0100; Adobe-Japan1; CID+2633
4FC1 E0100; Adobe-Japan1; CID+2634
4FC2 E0100; Adobe-Japan1; CID+2635
4FC3 E0100; Adobe-Japan1; CID+2636
4FC4 E0100; Adobe-Japan1; CID+2637
4FC5 E0100; Adobe-Japan1; CID+2638
4FC6 E0100; Adobe-Japan1; CID+2639
4FC8 E0100; Adobe-Japan1; CID+2640
4FC9 E0100; Adobe-Japan1; CID+2641
4FCA E0100; Adobe-Japan1; CID+2642
4FCB E0100; Adobe-Japan1; CID+2643
4FCC E0100; Adobe-Japan1; CID+2644
4FCD E0100; Adobe-Japan1; CID+2645
4FCE E0100; Adobe-Japan1; CID+2646
4FCF E0100; Adobe-Japan1; CID+2647
4FD0 E0100; Adobe-Japan1; CID+2648
4FD1 E0100; Adobe-Japan1; CID+2649
4FD2 E0100; Adobe-Japan1; CID+2650
4FD3 E0100; Adobe-Japan1; CID+2651
4FD4 E0100; Adobe-Japan1; CID+2652
4FD7 E0100; Adobe-Japan1; CID+2653
4FD8 E0100; Adobe-Japan1; CID+2654
4FDA E0100; Adobe-Japan1; CID+2655
4FDB E0100; Adobe-Japan1; CID+2656
4FDC E0100; Adobe-Japan1; CID+2657
4FDD E0100; Adobe-Japan1; CID+2658
4FDF E0100; Adobe-Japan1; CID+2659
4FE0 E0100; Adobe-Japan1; CID+2660
4FE1 E0100; Adobe-Japan1; CID+2661
4FE2 E0100; Adobe-Japan1; CID+2662
4FE3 E0100; Adobe-Japan1; CID+2663
4FE4 E0100; Adobe-Japan1; CID+2664
4FE5 E0100; Adobe-Japan1; CID+2665
4FE6 E0100; Adobe-Japan1; CID+2666
4FEE E0100; Adobe-Japan1; CID+2667
4FEF E0100; Adobe-Japan1; CID+2668
4FF0 E0100; Adobe-Japan1; CID+2669
4FF1 E0100; Adobe-Japan1; CID+2670
4FF2 E0100; Adobe-Japan1; CID+2671
4FF3 E0100; Adobe-Japan1; CID+2672
4FF5 E0100; Adobe-Japan1; CID+2673
4FF6 E0100; Adobe-Japan1; CID+2674
4FF8 E0100; Adobe-Japan1; CID+2675
4FFA E0100; Adobe-Japan1; CID+2676
4FFC E0100; Adobe-Japan1; CID+2677
4FFD E0100; Adobe-Japan1; CID+2678
4FFE E0100; Adobe-Japan1; CID+2679
4FFF E0100; Adobe-Japan1; CID+2680
5000 E0100; Adobe-Japan1; CID+2681
5001 E0100; Adobe-Japan1; CID+2682
5002 E0100; Adobe-Japan1; CID+2683
